key,nickname
1712,Dawgma
1714,MORE Robotics
1716,Redbird Robotics
1718,The Fighting Pi
1719,The Umbrella Corporation
1720,PhyXTGears
1721,Tidal Force
1723,The FBI - FIRST Bots of Independence
1726,N.E.R.D.S. (Nifty Engineering Robotics Design Squad)
1727,REX
1729,Team Inconceivable!
1730,Team Driven
1731,Fresta Valley Robotics Club
1732,Hilltopper Robotics
1735,Green Reapers
1736,Robot Casserole
1739,Chicago Knights Robotics
1740,Cyber Colonels
1741,Red Alert
1744,Robo-Rays Robotics
1745,The P-51 Mustangs
1746,OTTO
1747,Harrison Boiler Robotics
1750,ThunderStorm Robotics
1756,Argos
1757,Wolverines
1758,Technomancers
1759,Potatoes
1761,STEAMpunk Tigers
1763,Paseliens
1764,Liberty Robotics
1768,Nashoba Robotics
1769,Digital Hawks
1771,North Gwinnett Robotics
1772,The Brazilian Trail Blazers
1775,Tigerbytes
1778,Chill Out
1781,Lindblom Electric Eagles
1785,Blue Springs Robocats
1787,The Flying Circuits
1792,Round Table Robotics
1793,The Aviators
1795,Team Clutch
1796,RoboTigers
1799,Wired-Up!
1802,Team Stealth
1803,Vikings
1806,S.W.A.T.
1807,Redbird Robotics
1810,CATATRONICS
1811,FRESH
1812,Blackbird Robotics
1816,"""The Green Machine"""
1818,Team Talos
1825,The Cyborgs
1827,THE HIVE
1828,BoxerBots
1831,Screaming Eagles
1836,The MilkenKnights
1847,W.R.A.T.H (Wyandotte Robotics and Technology Hackers)
1860,Alphabots
1868,Space Cookies
1880,Warriors of East Harlem
1884,Griffins
1885,Comet Robotics
1891,Bullbots
1895,Lambda Corps
1899,Saints Robotics
1902,Exploding Bacon
1908,ShoreBots
1912,Team Combustion
1915,MTHS Firebird Robotics
1918,NC GEARS
1922,Oz-Ram
1923,The MidKnight Inventors
1927,Tempest
1937,Elysium
1939,THE KUHNIGITS
1940,Tech Tigers
1942,Cinderella Tel-Nof
1943,Neat Team
1954,ElectroBunny
1965,Firebirds
1967,The Janksters
1972,Searing Engineering
1977,The PowerSquids
1982,Cougar Robotics
1983,Skunk Works Robotics
1984,Jawas
1986,Team Titanium
1987,Broncobots
1989,Viking Robotics
1991,Dragons
1994,Quixote
1997,STAG Robotics
2001,HERMES
2010,The Lightning Bots
2013,Cybergnomes
2016,Mighty Monkey Wrenches
2022,Titan Robotics
2027,Robotic Dragons
2028,Phantom Robotics
2035,Robo Rockin' Bots
2036,The Black Knights
2039,Rockford Robotics
